[Device] Using cuda
[SURREAL] Scanning: /home/channagiri.b/SmallData_Project/Dataset/SURREAL/data/cmu/train
[SURREAL] [train] Total samples indexed: 5342090
[SURREAL] Scanning: /home/channagiri.b/SmallData_Project/Dataset/SURREAL/data/cmu/val
[SURREAL] [val] Total samples indexed: 44491
[Epoch 1] Step 50/166941 Loss: 1.4193 | 0.97s/step | ETA 44:59m
[Epoch 1] Step 100/166941 Loss: 0.2210 | 0.86s/step | ETA 39:52m
[Epoch 1] Step 150/166941 Loss: 0.1373 | 0.87s/step | ETA 40:09m
[Epoch 1] Step 200/166941 Loss: 0.1103 | 0.87s/step | ETA 40:27m
[Epoch 1] Step 250/166941 Loss: 0.0973 | 0.88s/step | ETA 40:37m
[Epoch 1] Step 300/166941 Loss: 0.0894 | 0.88s/step | ETA 40:47m
[Epoch 1] Step 350/166941 Loss: 0.0819 | 0.88s/step | ETA 40:53m
[Epoch 1] Step 400/166941 Loss: 0.0756 | 0.88s/step | ETA 40:56m
[Epoch 1] Step 450/166941 Loss: 0.0716 | 0.88s/step | ETA 40:55m
[Epoch 1] Step 500/166941 Loss: 0.0692 | 0.88s/step | ETA 40:53m
[Epoch 1] Step 550/166941 Loss: 0.0663 | 0.88s/step | ETA 40:54m
[Epoch 1] Step 600/166941 Loss: 0.0634 | 0.86s/step | ETA 39:57m
[Epoch 1] Step 650/166941 Loss: 0.0604 | 0.86s/step | ETA 39:43m
[Epoch 1] Step 700/166941 Loss: 0.0599 | 0.87s/step | ETA 40:00m
[Epoch 1] Step 750/166941 Loss: 0.0587 | 0.87s/step | ETA 40:14m
[Epoch 1] Step 800/166941 Loss: 0.0564 | 0.88s/step | ETA 40:31m
[Epoch 1] Step 850/166941 Loss: 0.0556 | 0.88s/step | ETA 40:43m
[Epoch 1] Step 900/166941 Loss: 0.0551 | 0.88s/step | ETA 40:44m
[Epoch 1] Step 950/166941 Loss: 0.0537 | 0.88s/step | ETA 40:41m
[Epoch 1] Step 1000/166941 Loss: 0.0551 | 0.88s/step | ETA 40:46m
[Epoch 1] Step 1050/166941 Loss: 0.0534 | 0.88s/step | ETA 40:44m
[Epoch 1] Step 1100/166941 Loss: 0.0521 | 0.89s/step | ETA 40:47m
[Epoch 1] Step 1150/166941 Loss: 0.0525 | 0.89s/step | ETA 40:48m
[Epoch 1] Step 1200/166941 Loss: 0.0506 | 0.88s/step | ETA 40:44m
[Epoch 1] Step 1250/166941 Loss: 0.0498 | 0.89s/step | ETA 40:46m
[Epoch 1] Step 1300/166941 Loss: 0.0560 | 0.89s/step | ETA 40:43m
[Epoch 1] Step 1350/166941 Loss: 0.0607 | 0.89s/step | ETA 40:46m
[Epoch 1] Step 1400/166941 Loss: 0.0543 | 0.89s/step | ETA 40:45m
[Epoch 1] Step 1450/166941 Loss: 0.0496 | 0.89s/step | ETA 40:44m
[Epoch 1] Step 1500/166941 Loss: 0.0495 | 0.89s/step | ETA 40:42m
[Epoch 1] Step 1550/166941 Loss: 0.0499 | 0.89s/step | ETA 40:41m
[Epoch 1] Step 1600/166941 Loss: 0.0504 | 0.89s/step | ETA 40:44m
[Epoch 1] Step 1650/166941 Loss: 0.0490 | 0.89s/step | ETA 40:42m
[Epoch 1] Step 1700/166941 Loss: 0.0478 | 0.89s/step | ETA 40:42m
[Epoch 1] Step 1750/166941 Loss: 0.0466 | 0.87s/step | ETA 40:06m
[Epoch 1] Step 1800/166941 Loss: 0.0471 | 0.86s/step | ETA 39:25m
[Epoch 1] Step 1850/166941 Loss: 0.0460 | 0.87s/step | ETA 39:43m
[Epoch 1] Step 1900/166941 Loss: 0.0473 | 0.87s/step | ETA 39:54m
